instance,group,algorithm,seed,iteration,best_vehicles,best_distance,best_travel_time
C1_10_1,C1,ABC,2026,0,727,355443.834983,720373.056769
C1_10_1,C1,ABC,2026,1,725,355234.540939,723348.615287
C1_10_1,C1,ABC,2026,2,717,355616.265658,717702.451262
C1_10_1,C1,ABC,2026,3,714,355780.703563,714148.768792
C1_10_10,C1,ABC,2026,0,475,319931.424573,496206.003661
C1_10_10,C1,ABC,2026,1,474,318189.34563,496772.734124
C1_10_10,C1,ABC,2026,2,471,316910.954642,494248.778943
C1_10_10,C1,ABC,2026,3,468,315713.010152,490397.951505
C1_10_10,C1,ABC,2026,4,468,315713.010152,490397.951505
C1_10_2,C1,ABC,2026,0,592,338232.682788,641423.237527
C1_10_2,C1,ABC,2026,1,589,337628.206641,641399.541581
C1_10_2,C1,ABC,2026,2,581,335222.188022,636584.144533
C1_10_2,C1,ABC,2026,3,581,335222.188022,636584.144533
C1_10_3,C1,ABC,2026,0,464,323489.303472,556278.536286
C1_10_3,C1,ABC,2026,1,462,322925.373753,559589.884001
C1_10_3,C1,ABC,2026,2,459,320397.563651,550930.009252
C1_10_4,C1,ABC,2026,0,344,304419.150966,465198.351822
C1_10_4,C1,ABC,2026,1,344,304419.150966,465198.351822
C1_10_4,C1,ABC,2026,2,344,304419.150966,465198.351822
C1_10_4,C1,ABC,2026,3,344,304419.150966,465198.351822
C1_10_5,C1,ABC,2026,0,681,349488.68693,671176.037992
C1_10_5,C1,ABC,2026,1,680,350596.015915,672786.173887
C1_10_5,C1,ABC,2026,2,680,350596.015915,672786.173887
C1_10_5,C1,ABC,2026,3,678,349879.212512,670843.655815
C1_10_6,C1,ABC,2026,0,665,346712.62867,652276.018054
C1_10_6,C1,ABC,2026,1,665,346712.62867,652276.018054
C1_10_6,C1,ABC,2026,2,660,338814.124056,646881.382681
C1_10_7,C1,ABC,2026,0,654,347690.4136,640471.114417
C1_10_7,C1,ABC,2026,1,654,347590.975368,637876.693627
C1_10_7,C1,ABC,2026,2,651,347505.668381,638566.400907
C1_10_7,C1,ABC,2026,3,651,347505.668381,638566.400907
C1_10_8,C1,ABC,2026,0,611,340023.667028,601710.270645
C1_10_8,C1,ABC,2026,1,603,337226.245572,597922.836703
C1_10_8,C1,ABC,2026,2,602,335842.688035,596387.998465
C1_10_8,C1,ABC,2026,3,600,336337.622208,597296.286681
C1_10_9,C1,ABC,2026,0,531,327708.754126,536683.4551
C1_10_9,C1,ABC,2026,1,530,325764.466842,534770.488992
C1_10_9,C1,ABC,2026,2,523,323142.204321,529669.423695
C1_10_9,C1,ABC,2026,3,523,323142.204321,529669.423695
C2_10_1,C2,ABC,2026,0,523,284153.481269,1284166.45342
C2_10_1,C2,ABC,2026,1,523,284153.481269,1284166.45342
C2_10_1,C2,ABC,2026,2,523,284153.481269,1284166.45342
C2_10_1,C2,ABC,2026,3,522,283584.313944,1275870.017869
C2_10_10,C2,ABC,2026,0,354,264090.525901,851724.378151
C2_10_10,C2,ABC,2026,1,350,262453.724556,840124.411865
C2_10_10,C2,ABC,2026,2,343,263595.156565,827043.803279
C2_10_10,C2,ABC,2026,3,343,263595.156565,827043.803279
C2_10_2,C2,ABC,2026,0,419,275189.036074,1050823.992945
C2_10_2,C2,ABC,2026,1,416,272945.466982,1047785.085804
C2_10_2,C2,ABC,2026,2,415,271831.042275,1040553.285248
C2_10_2,C2,ABC,2026,3,415,271831.042275,1040553.285248
C2_10_3,C2,ABC,2026,0,305,259902.131875,787414.505804
C2_10_3,C2,ABC,2026,1,304,253397.591325,794425.993901
C2_10_3,C2,ABC,2026,2,304,253397.591325,794425.993901
C2_10_3,C2,ABC,2026,3,302,252462.970144,787389.149706
C2_10_4,C2,ABC,2026,0,195,249497.867132,568943.982067
C2_10_4,C2,ABC,2026,1,194,246188.486975,562562.508971
C2_10_4,C2,ABC,2026,2,194,246188.486975,562562.508971
C2_10_4,C2,ABC,2026,3,194,246188.486975,562562.508971
C2_10_5,C2,ABC,2026,0,483,280323.290775,1168816.593639
C2_10_5,C2,ABC,2026,1,480,275424.146678,1174839.443907
C2_10_5,C2,ABC,2026,2,480,275424.146678,1174839.443907
C2_10_5,C2,ABC,2026,3,480,275424.146678,1174839.443907
C2_10_6,C2,ABC,2026,0,426,273280.911646,1032910.058715
C2_10_6,C2,ABC,2026,1,426,273280.911646,1032910.058715
C2_10_6,C2,ABC,2026,2,425,271001.308957,1026026.819511
C2_10_6,C2,ABC,2026,3,425,271001.308957,1026026.819511
C2_10_7,C2,ABC,2026,0,405,263332.135897,981064.551382
C2_10_7,C2,ABC,2026,1,405,263332.135897,981064.551382
C2_10_7,C2,ABC,2026,2,402,264280.529034,976482.039337
C2_10_7,C2,ABC,2026,3,399,266236.540674,965540.007275
C2_10_8,C2,ABC,2026,0,400,269886.395847,967023.358791
C2_10_8,C2,ABC,2026,1,399,262883.499593,972101.739734
C2_10_8,C2,ABC,2026,2,395,273763.585449,966122.9232
C2_10_8,C2,ABC,2026,3,395,273763.585449,966122.9232
C2_10_9,C2,ABC,2026,0,366,264193.615621,886214.790874
C2_10_9,C2,ABC,2026,1,362,266621.708543,860277.73771
C2_10_9,C2,ABC,2026,2,362,266621.708543,860277.73771
C2_10_9,C2,ABC,2026,3,362,266621.708543,860277.73771
R1_10_1,R1,ABC,2026,0,643,336984.762085,756548.47387
R1_10_1,R1,ABC,2026,1,638,332971.790714,746601.087253
R1_10_1,R1,ABC,2026,2,634,335423.407587,752225.026743
R1_10_1,R1,ABC,2026,3,634,335423.407587,752225.026743
R1_10_10,R1,ABC,2026,0,577,321591.110588,669875.992499
R1_10_10,R1,ABC,2026,1,577,321591.110588,669875.992499
R1_10_10,R1,ABC,2026,2,575,323606.704445,668311.648082
R1_10_10,R1,ABC,2026,3,574,325899.375158,673153.921871
R1_10_2,R1,ABC,2026,0,519,321210.416883,631240.220253
R1_10_2,R1,ABC,2026,1,519,321210.416883,631240.220253
R1_10_2,R1,ABC,2026,2,516,318649.473718,627245.532261
R1_10_2,R1,ABC,2026,3,513,315803.783742,620601.250978
R1_10_3,R1,ABC,2026,0,389,301063.797402,508084.204132
R1_10_3,R1,ABC,2026,1,389,301063.797402,508084.204132
R1_10_3,R1,ABC,2026,2,389,301063.797402,508084.204132
R1_10_3,R1,ABC,2026,3,389,301063.797402,508084.204132
R1_10_4,R1,ABC,2026,0,279,289928.708492,401424.459455
R1_10_4,R1,ABC,2026,1,268,281499.741905,388739.459103
R1_10_4,R1,ABC,2026,2,268,281085.368097,389011.559304
R1_10_4,R1,ABC,2026,3,268,281085.368097,389011.559304
R1_10_4,R1,ABC,2026,4,268,281085.368097,389011.559304
R1_10_5,R1,ABC,2026,0,631,331119.015983,735506.808309
R1_10_5,R1,ABC,2026,1,615,331266.877969,724448.752533
R1_10_5,R1,ABC,2026,2,612,329705.811203,724965.681558
R1_10_5,R1,ABC,2026,3,612,329459.90366,725869.743597
R1_10_5,R1,ABC,2026,4,612,329459.90366,725869.743597
R1_10_6,R1,ABC,2026,0,508,309640.700735,622312.740959
R1_10_6,R1,ABC,2026,1,508,309640.700735,622312.740959
R1_10_6,R1,ABC,2026,2,500,318793.261636,611196.504025
R1_10_6,R1,ABC,2026,3,500,318793.261636,611196.504025
R1_10_6,R1,ABC,2026,4,500,318793.261636,611196.504025
R1_10_6,R1,ABC,2026,5,500,318793.261636,611196.504025
R1_10_7,R1,ABC,2026,0,389,301073.266641,506209.308714
R1_10_7,R1,ABC,2026,1,386,290624.352668,488743.406852
R1_10_7,R1,ABC,2026,2,385,293239.076746,491027.860893
R1_10_7,R1,ABC,2026,3,385,293239.076746,491027.860893
R1_10_7,R1,ABC,2026,4,382,305005.414347,507032.61221
R1_10_8,R1,ABC,2026,0,277,284951.545786,398596.25984
R1_10_8,R1,ABC,2026,1,273,284727.559287,391565.525676
R1_10_8,R1,ABC,2026,2,273,284727.559287,391565.525676
R1_10_8,R1,ABC,2026,3,273,284727.559287,391565.525676
R1_10_8,R1,ABC,2026,4,272,284923.666377,387023.812864
R1_10_8,R1,ABC,2026,5,272,284923.666377,387023.812864
R1_10_9,R1,ABC,2026,0,612,327452.12759,715447.231641
R1_10_9,R1,ABC,2026,1,606,326542.323176,702488.541935
R1_10_9,R1,ABC,2026,2,598,325860.257347,699171.283731
R1_10_9,R1,ABC,2026,3,598,325860.257347,699171.283731
R1_10_9,R1,ABC,2026,4,598,325860.257347,699171.283731
R2_10_1,R2,ABC,2026,0,506,324010.30721,2195347.576008
R2_10_1,R2,ABC,2026,1,505,320365.787691,2170964.480418
R2_10_1,R2,ABC,2026,2,502,322434.72514,2193869.339255
R2_10_1,R2,ABC,2026,3,502,322434.72514,2193869.339255
R2_10_1,R2,ABC,2026,4,502,322434.72514,2193869.339255
R2_10_10,R2,ABC,2026,0,463,317260.115028,1984175.469039
R2_10_10,R2,ABC,2026,1,460,309781.962596,1986076.442041
R2_10_10,R2,ABC,2026,2,453,313927.943717,1963637.438581
R2_10_10,R2,ABC,2026,3,451,307153.835998,1944156.751914
R2_10_10,R2,ABC,2026,4,450,308567.240984,1931588.147866
R2_10_2,R2,ABC,2026,0,388,304194.206826,1723207.354195
R2_10_2,R2,ABC,2026,1,388,304194.206826,1723207.354195
R2_10_2,R2,ABC,2026,2,388,304194.206826,1723207.354195
R2_10_3,R2,ABC,2026,0,270,287639.621082,1251092.530082
R2_10_3,R2,ABC,2026,1,268,290788.674769,1246243.142969
R2_10_3,R2,ABC,2026,2,267,288339.61822,1225892.503716
R2_10_4,R2,ABC,2026,0,148,269785.468515,735600.738853
R2_10_4,R2,ABC,2026,1,148,269785.468515,735600.738853
R2_10_4,R2,ABC,2026,2,148,269785.468515,735600.738853
R2_10_5,R2,ABC,2026,0,496,316356.366584,2147726.019341
R2_10_5,R2,ABC,2026,1,491,319383.815151,2141679.019671
R2_10_5,R2,ABC,2026,2,488,316305.390964,2082352.460116
R2_10_6,R2,ABC,2026,0,385,301939.054004,1690085.662458
R2_10_6,R2,ABC,2026,1,375,297953.107659,1648979.048554
R2_10_6,R2,ABC,2026,2,372,300250.54499,1648006.632086
R2_10_6,R2,ABC,2026,3,371,303395.954853,1644991.769272
R2_10_7,R2,ABC,2026,0,264,288313.347772,1208185.981261
R2_10_7,R2,ABC,2026,1,258,286779.158887,1208707.832634
R2_10_7,R2,ABC,2026,2,257,285106.834661,1201172.283535
R2_10_7,R2,ABC,2026,3,256,284572.092593,1192836.131067
R2_10_7,R2,ABC,2026,4,255,283339.566761,1186531.938707
R2_10_7,R2,ABC,2026,5,255,283339.566761,1186531.938707
R2_10_8,R2,ABC,2026,0,147,271706.982618,730441.004475
R2_10_8,R2,ABC,2026,1,142,266893.962741,694568.474187
R2_10_8,R2,ABC,2026,2,142,266893.962741,694568.474187
R2_10_8,R2,ABC,2026,3,141,265622.579386,692236.124825
R2_10_8,R2,ABC,2026,4,138,269961.346487,704055.662181
R2_10_8,R2,ABC,2026,5,138,269961.346487,704055.662181
R2_10_8,R2,ABC,2026,6,138,269961.346487,704055.662181
R2_10_9,R2,ABC,2026,0,479,311740.157087,2064090.281161
R2_10_9,R2,ABC,2026,1,474,313746.015291,2041897.065683
R2_10_9,R2,ABC,2026,2,464,315935.154803,2014228.767482
R2_10_9,R2,ABC,2026,3,464,315935.154803,2014228.767482
R2_10_9,R2,ABC,2026,4,464,315935.154803,2014228.767482
RC1_10_1,RC1,ABC,2026,0,692,349362.482192,576354.913411
RC1_10_1,RC1,ABC,2026,1,692,349362.482192,576354.913411
RC1_10_1,RC1,ABC,2026,2,692,349362.482192,576354.913411
RC1_10_1,RC1,ABC,2026,3,690,349005.953369,576388.615286
RC1_10_1,RC1,ABC,2026,4,689,349894.074569,575791.064567
RC1_10_10,RC1,ABC,2026,0,600,331551.900903,509514.159166
RC1_10_10,RC1,ABC,2026,1,600,331551.900903,509514.159166
RC1_10_10,RC1,ABC,2026,2,598,330480.185753,508121.313275
RC1_10_10,RC1,ABC,2026,3,598,330480.185753,508121.313275
RC1_10_10,RC1,ABC,2026,4,593,331853.528039,506024.01753
RC1_10_10,RC1,ABC,2026,5,591,329289.41,503204.530415
RC1_10_2,RC1,ABC,2026,0,560,331357.102119,503003.05827
RC1_10_2,RC1,ABC,2026,1,554,332274.395254,502871.72732
RC1_10_2,RC1,ABC,2026,2,554,332274.395254,502871.72732
RC1_10_2,RC1,ABC,2026,3,550,332205.203203,487656.361618
RC1_10_2,RC1,ABC,2026,4,550,332205.203203,487656.361618
RC1_10_2,RC1,ABC,2026,5,550,332205.203203,487656.361618
RC1_10_3,RC1,ABC,2026,0,420,315735.753431,427050.032792
RC1_10_3,RC1,ABC,2026,1,420,315735.753431,427050.032792
RC1_10_3,RC1,ABC,2026,2,420,308119.006316,428217.904047
RC1_10_3,RC1,ABC,2026,3,420,306913.096573,425587.301487
RC1_10_3,RC1,ABC,2026,4,420,306913.096573,425587.301487
RC1_10_3,RC1,ABC,2026,5,420,306913.096573,425587.301487
RC1_10_4,RC1,ABC,2026,0,291,294848.20954,360445.979433
RC1_10_4,RC1,ABC,2026,1,289,295782.511924,359800.065495
RC1_10_4,RC1,ABC,2026,2,284,295179.264951,363099.80974
RC1_10_4,RC1,ABC,2026,3,284,295179.264951,363099.80974
RC1_10_4,RC1,ABC,2026,4,284,294107.882313,360767.027732
RC1_10_4,RC1,ABC,2026,5,284,294107.882313,360767.027732
RC1_10_4,RC1,ABC,2026,6,284,294107.882313,360767.027732
RC1_10_5,RC1,ABC,2026,0,664,344310.695243,557616.60892
RC1_10_5,RC1,ABC,2026,1,658,343497.706575,552261.332057
RC1_10_5,RC1,ABC,2026,2,658,343497.706575,552261.332057
RC1_10_5,RC1,ABC,2026,3,658,343497.706575,552261.332057
RC1_10_5,RC1,ABC,2026,4,658,343491.678705,555776.504501
RC1_10_5,RC1,ABC,2026,5,652,340154.552015,546750.563597
RC1_10_6,RC1,ABC,2026,0,673,344975.778214,560812.688894
RC1_10_6,RC1,ABC,2026,1,661,344451.342174,550558.467792
RC1_10_6,RC1,ABC,2026,2,661,344451.342174,550558.467792
RC1_10_6,RC1,ABC,2026,3,661,344451.342174,550558.467792
RC1_10_6,RC1,ABC,2026,4,661,343949.951623,555913.327016
RC1_10_7,RC1,ABC,2026,0,644,338754.749239,534783.311195
RC1_10_7,RC1,ABC,2026,1,644,338754.749239,534783.311195
RC1_10_7,RC1,ABC,2026,2,637,337030.717205,535440.804018
RC1_10_7,RC1,ABC,2026,3,630,335319.413572,530613.184639
RC1_10_7,RC1,ABC,2026,4,630,335319.413572,530613.184639
RC1_10_7,RC1,ABC,2026,5,630,335319.413572,530613.184639
RC1_10_8,RC1,ABC,2026,0,616,334493.781829,526051.02679
RC1_10_8,RC1,ABC,2026,1,612,331597.384258,518135.58502
RC1_10_8,RC1,ABC,2026,2,612,331597.384258,518135.58502
RC1_10_8,RC1,ABC,2026,3,609,331392.838479,515801.499315
RC1_10_8,RC1,ABC,2026,4,605,331735.584106,517628.24254
RC1_10_8,RC1,ABC,2026,5,602,329026.448788,516045.417133
RC1_10_9,RC1,ABC,2026,0,617,334287.031682,519301.672221
RC1_10_9,RC1,ABC,2026,1,617,334287.031682,519301.672221
RC1_10_9,RC1,ABC,2026,2,617,334287.031682,519301.672221
RC1_10_9,RC1,ABC,2026,3,617,334287.031682,519301.672221
RC1_10_9,RC1,ABC,2026,4,617,328827.721565,520206.656289
RC2_10_1,RC2,ABC,2026,0,529,327992.702594,1605107.354168
RC2_10_1,RC2,ABC,2026,1,523,326925.151409,1601346.793695
RC2_10_1,RC2,ABC,2026,2,516,325757.636629,1584831.654666
RC2_10_1,RC2,ABC,2026,3,516,325757.636629,1584831.654666
RC2_10_1,RC2,ABC,2026,4,516,325757.636629,1584831.654666
RC2_10_1,RC2,ABC,2026,5,516,325757.636629,1584831.654666
RC2_10_10,RC2,ABC,2026,0,413,312573.263971,1339979.091821
RC2_10_10,RC2,ABC,2026,1,413,312573.263971,1339979.091821
RC2_10_10,RC2,ABC,2026,2,411,312580.86721,1355788.075678
RC2_10_10,RC2,ABC,2026,3,405,310714.280438,1339965.313465
RC2_10_10,RC2,ABC,2026,4,402,310952.581707,1319740.855703
RC2_10_10,RC2,ABC,2026,5,402,310952.581707,1319740.855703
RC2_10_10,RC2,ABC,2026,6,402,310952.581707,1319740.855703
RC2_10_2,RC2,ABC,2026,0,417,313027.518278,1278899.705741
RC2_10_2,RC2,ABC,2026,1,415,314103.201275,1265699.237627
RC2_10_2,RC2,ABC,2026,2,414,317079.189171,1277645.029591
RC2_10_2,RC2,ABC,2026,3,414,317079.189171,1277645.029591
RC2_10_2,RC2,ABC,2026,4,407,319376.750267,1243714.58065
RC2_10_2,RC2,ABC,2026,5,407,319376.750267,1243714.58065
RC2_10_3,RC2,ABC,2026,0,301,298299.934813,921422.755254
RC2_10_3,RC2,ABC,2026,1,300,302374.624232,907921.349846
RC2_10_3,RC2,ABC,2026,2,300,302374.624232,907921.349846
RC2_10_3,RC2,ABC,2026,3,299,298176.81362,909280.896336
RC2_10_3,RC2,ABC,2026,4,299,298176.81362,909280.896336
RC2_10_3,RC2,ABC,2026,5,297,301827.612428,893992.079497
RC2_10_4,RC2,ABC,2026,0,172,280472.191019,576781.373838
RC2_10_4,RC2,ABC,2026,1,169,283041.083785,575929.601966
RC2_10_4,RC2,ABC,2026,2,169,283041.083785,575929.601966
RC2_10_4,RC2,ABC,2026,3,169,281855.568634,581291.43305
RC2_10_4,RC2,ABC,2026,4,169,281855.568634,581291.43305
RC2_10_4,RC2,ABC,2026,5,165,280904.953319,572562.484485
RC2_10_4,RC2,ABC,2026,6,165,280904.953319,572562.484485
RC2_10_5,RC2,ABC,2026,0,491,324420.30525,1526419.523161
RC2_10_5,RC2,ABC,2026,1,483,316824.862783,1508931.136812
RC2_10_5,RC2,ABC,2026,2,483,316824.862783,1508931.136812
RC2_10_5,RC2,ABC,2026,3,483,316824.862783,1508931.136812
RC2_10_5,RC2,ABC,2026,4,477,315754.346869,1504090.854515
RC2_10_5,RC2,ABC,2026,5,477,315754.346869,1504090.854515
RC2_10_6,RC2,ABC,2026,0,503,324534.494851,1548535.490657
RC2_10_6,RC2,ABC,2026,1,498,324690.202053,1543109.719689
RC2_10_6,RC2,ABC,2026,2,498,324690.202053,1543109.719689
RC2_10_6,RC2,ABC,2026,3,498,324690.202053,1543109.719689
RC2_10_6,RC2,ABC,2026,4,498,324690.202053,1543109.719689
RC2_10_7,RC2,ABC,2026,0,467,320135.211517,1476028.601084
RC2_10_7,RC2,ABC,2026,1,460,318568.28952,1475818.666224
RC2_10_7,RC2,ABC,2026,2,460,318568.28952,1475818.666224
RC2_10_7,RC2,ABC,2026,3,460,318568.28952,1475818.666224
RC2_10_7,RC2,ABC,2026,4,460,318568.28952,1475818.666224
RC2_10_8,RC2,ABC,2026,0,448,316036.600213,1426159.212141
RC2_10_8,RC2,ABC,2026,1,442,317991.830425,1449302.984319
RC2_10_8,RC2,ABC,2026,2,437,315053.381574,1431591.367334
RC2_10_8,RC2,ABC,2026,3,437,315053.381574,1431591.367334
RC2_10_8,RC2,ABC,2026,4,437,315053.381574,1431591.367334
RC2_10_9,RC2,ABC,2026,0,439,316358.195003,1399060.627088
RC2_10_9,RC2,ABC,2026,1,429,315619.358328,1390837.549557
RC2_10_9,RC2,ABC,2026,2,429,315619.358328,1390837.549557
RC2_10_9,RC2,ABC,2026,3,429,315619.358328,1390837.549557
